"LOCATION","TYPE","SERIAL","CARD","MODEL","MATERIAL","RMA","QTY","TECH","PHONE","DATA","DATE","RANDOM"
"BB1300FL4","RETNDOA","A61LC7JW113176","A61LC7JW113176","C61-100","IRD","RMA-510","0","880294","407-514-6020","12006301",03/25/2021,"iuojee"
"BB1300FL4","RETNDOA","A51LH5NR101104","A51LH5NR101104","","","","0","880294","","",03/25/2021,"nykhcr"
"BB1300FL4","RETNDOA","C06BC0PP400131","002420022382","","","","0","880294","","",03/25/2021,"vcjdch"
"BB1300FL4","RETNDOA","D54HW7GM110299","003254150489","","","","0","880294","","",03/25/2021,"fdxdtc"
"BB1300FL4","RETNDOA","D33HD3CWG12508","003680517384","","","","0","880294","","",03/25/2021,"ieuqvy"
"BB1300FL4","RETNDOA","D33HF3JC311648","003558256990","","","","0","880294","","",03/25/2021,"zzwhbb"
"BB1300FL4","RETNDOA","C54BE8FC303995","003634151017","","","","0","880294","","",03/25/2021,"trkzqr"
"BB1300FL4","RETNDOA","C33BC6EV303826","003009768270","","","","0","880294","","",03/25/2021,"xsavca"
"BB1300FL4","RETNDOA","G33DC3RE002849","004201476084","","","","0","880294","","",03/25/2021,"lfiscd"
"BB1300FL4","RETNDOA","C54BE8RL302199","003719928305","","","","0","880289","","",03/25/2021,"wrjqzk"
"BB1300FL4","RETNDOA","A07LE2FQ120075","002982301323","","","","0","880289","","",03/25/2021,"mdgzkb"
"BB1300FL4","RETNDOA","C17BE8LM100892","001867666628","","","","0","880289","","",03/25/2021,"qkqmqh"
"BB1300FL4","RETNDOA","C23BA8LN000224","002749157455","","","","0","880289","","",03/25/2021,"gvzmfi"
"BB1300FL4","RETNDOA","G04BD6TM502479","001901980357","","","","0","880289","","",03/25/2021,"jjdhin"
"BB1300FL4","RETNDOA","G28CA2QU204570","003031087004","","","","0","880289","","",03/25/2021,"hbgibm"
"BB1300FL4","RETNDOA","B12AA7PX320176","002519860213","","","","0","880289","","",03/25/2021,"tupepa"
"BB1300FL4","RETNDOA","C54BE7BM302715","003725297208","","","","0","880289","","",03/25/2021,"fwgooz"
"BB1300FL4","RETNDOA","G54DG7HW002666","003627550761","","","","0","880289","","",03/25/2021,"ytjovy"
"BB1300FL4","RETNDOA","D54HY8HA110061","003630729477","","","","0","880289","","",03/25/2021,"hgiugf"
"BB1300FL4","RETNDOA","G33DB3FW002359","003057321576","","","","0","880289","","",03/25/2021,"ekegpo"
"BB1300FL4","RETNDOA","G54DG7HP001156","003626041887","","","","0","880289","","",03/25/2021,"klyywk"
"BB1300FL4","RETNDOA","C54BE7KT301017","003626983377","","","","0","880289","","",03/25/2021,"zdulov"
"BB1300FL4","RETNDOA","G54DG7GX001307","003624991919","","","","0","880289","","",03/25/2021,"dhrdsz"
"BB1300FL4","RETNDOA","G33DT4KH000003","003267473993","","","","0","880289","","",03/25/2021,"bsbjev"
"BB1300FL4","RETNDOA","C06BE1FG600064","003644685285","","","","0","880289","","",03/25/2021,"kxjacz"
"BB1300FL4","RETNDOA","G06DA1KR000317","003726716198","","","","0","880289","","",03/25/2021,"dskfyi"
"BB1300FL4","RETNDOA","D55LG9KT110467","003386754737","","","","0","880289","","",03/25/2021,"zdkaxr"
